iter	RMSE
0	8.363013974
1	7.767083905
2	7.301656438
3	7.001341963
4	6.622270374
5	6.580602685
6	6.464701592
7	6.287008631
8	6.236800141
9	6.005966686
10	5.831573875
11	5.745585734
12	5.599751291
13	5.500690946
14	5.455870003
15	5.338568635
16	5.295187962
17	5.245782298
18	5.201262153
19	5.168279202
20	5.119581912
21	5.06138741
22	4.993919812
23	4.968466626
24	4.809599757
25	4.68259953
26	4.652461887
27	4.631133868
28	4.596000771
29	4.570436087
30	4.531748434
31	4.459663693
32	4.428375968
33	4.336194692
34	4.306594456
35	4.283361493
36	4.261583841
37	4.157278442
38	4.145237318
39	4.119764072
40	4.033439964
41	4.000779281
42	3.980100569
43	3.967386815
44	3.860229622
45	3.797539233
46	3.777145984
47	3.714277688
48	3.699836009
49	3.687376387
50	3.628709389
51	3.547302875
52	3.540881028
53	3.496571788
54	3.445515203
55	3.397189177
56	3.310028234
57	3.250953964
58	3.195262158
59	3.189406956
60	3.158662278
61	3.149100814
62	3.091846039
63	3.071649685
64	3.062656986
65	3.026878649
66	2.994892167
67	2.986552258
68	2.9602141
69	2.942173144
70	2.883706687
71	2.871065251
72	2.849954251
73	2.825450225
74	2.795546416
75	2.765446322
76	2.731260492
77	2.700395521
78	2.696325591
79	2.641980174
80	2.60613006
81	2.596358962
82	2.590625884
83	2.573011446
84	2.548787044
85	2.522890498
86	2.493989069
87	2.473494337
88	2.435991336
89	2.429180985
90	2.394737057
91	2.390509725
92	2.358497614
93	2.334760936
94	2.319298836
95	2.302004421
96	2.29726901
97	2.293394241
98	2.271503284
99	2.262016382
