iter	Passed	Remaining
0	0	48
1	0	43
2	1	41
3	1	39
4	1	37
5	2	36
6	2	35
7	2	34
8	3	33
9	3	34
10	4	34
11	4	33
12	4	32
13	5	31
14	5	32
15	6	32
16	6	32
17	7	32
18	7	33
19	8	33
20	8	33
21	9	33
22	10	33
23	10	33
24	11	33
25	11	33
26	12	32
27	12	32
28	12	31
29	13	30
30	13	30
31	13	29
32	14	28
33	14	28
34	14	27
35	15	27
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	18	21
47	19	20
48	19	20
49	20	20
50	20	19
51	21	19
52	21	18
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	23	15
60	24	15
61	24	14
62	24	14
63	25	14
64	25	13
65	25	13
66	26	12
67	26	12
68	26	12
69	27	11
70	27	11
71	27	10
72	28	10
73	28	10
74	29	9
75	29	9
76	29	8
77	30	8
78	30	8
79	30	7
80	31	7
81	31	6
82	32	6
83	32	6
84	32	5
85	33	5
86	33	5
87	33	4
88	34	4
89	34	3
90	34	3
91	35	3
92	35	2
93	35	2
94	36	1
95	36	1
96	36	1
97	37	0
98	37	0
99	38	0
