holiday,ds,lower_window,upper_window
New Year's Day,2022-01-01,-1,1
National Sovereignty and Children's Day,2022-04-23,-1,1
Labour and Solidarity Day,2022-05-01,-1,1
Ramazan Bayramı Arife,2022-05-01,-1,1
Ramazan Bayramı,2022-05-02,-1,1
Ramazan Bayramı,2022-05-03,-1,1
Ramazan Bayramı,2022-05-04,-1,1
Commemoration of Atatürk Youth and Sports Day,2022-05-19,-1,1
Kurban Bayramı Arife,2022-07-08,-1,1
Kurban Bayramı,2022-07-09,-1,1
Kurban Bayramı,2022-07-10,-1,1
Kurban Bayramı,2022-07-11,-1,1
Kurban Bayramı,2022-07-12,-1,1
Democracy and National Unity Day,2022-07-15,-1,1
Victory Day,2022-08-30,-1,1
Republic Day Eve,2022-10-28,-1,1
Republic Day,2022-10-29,-1,1
New Year's Day,2023-01-01,-1,1
National Sovereignty and Children's Day,2023-04-23,-1,1
Ramazan Bayramı Arife,2023-04-20,-1,1
Ramazan Bayramı,2023-04-21,-1,1
Ramazan Bayramı,2023-04-22,-1,1
Ramazan Bayramı,2023-04-23,-1,1
Labour and Solidarity Day,2023-05-01,-1,1
Commemoration of Atatürk Youth and Sports Day,2023-05-19,-1,1
Kurban Bayramı Arife,2023-06-27,-1,1
Kurban Bayramı,2023-06-28,-1,1
Kurban Bayramı,2023-06-29,-1,1
Kurban Bayramı,2023-06-30,-1,1
Kurban Bayramı,2023-07-01,-1,1
Democracy and National Unity Day,2023-07-15,-1,1
Victory Day,2023-08-30,-1,1
Republic Day Eve,2023-10-28,-1,1
Republic Day,2023-10-29,-1,1
New Year's Day,2024-01-01,-1,1
Ramazan Bayramı Arife,2024-04-09,-1,1
Ramazan Bayramı,2024-04-10,-1,1
Ramazan Bayramı,2024-04-11,-1,1
Ramazan Bayramı,2024-04-12,-1,1
National Sovereignty and Children's Day,2024-04-23,-1,1
Labour and Solidarity Day,2024-05-01,-1,1
Commemoration of Atatürk Youth and Sports Day,2024-05-19,-1,1
Kurban Bayramı Arife,2024-06-15,-1,1
Kurban Bayramı,2024-06-16,-1,1
Kurban Bayramı,2024-06-17,-1,1
Kurban Bayramı,2024-06-18,-1,1
Kurban Bayramı,2024-06-19,-1,1
Democracy and National Unity Day,2024-07-15,-1,1
Victory Day,2024-08-30,-1,1
Republic Day Eve,2024-10-28,-1,1
Republic Day,2024-10-29,-1,1
New Year's Day,2025-01-01,-1,1
Ramazan Bayramı Arife,2025-03-29,-1,1
Ramazan Bayramı,2025-03-30,-1,1
Ramazan Bayramı,2025-03-31,-1,1
Ramazan Bayramı,2025-04-01,-1,1
National Sovereignty and Children's Day,2025-04-23,-1,1
Labour and Solidarity Day,2025-05-01,-1,1
Commemoration of Atatürk Youth and Sports Day,2025-05-19,-1,1
Kurban Bayramı Arife,2025-06-06,-1,1
Kurban Bayramı,2025-06-07,-1,1
Kurban Bayramı,2025-06-08,-1,1
Kurban Bayramı,2025-06-09,-1,1
Kurban Bayramı,2025-06-10,-1,1
Democracy and National Unity Day,2025-07-15,-1,1
Victory Day,2025-08-30,-1,1
Republic Day Eve,2025-10-28,-1,1
Republic Day,2025-10-29,-1,1
