date,product_id,quantity,netprice,price,discount,discountapplied,season,campaign_intensity
2022-01-01,4A0100000001,4,879.96,959.96,74.08,1,1,0.077169882
2022-01-02,4A0100000001,2,390.53,479.98,82.82,1,1,0.172548856
2022-01-04,4A0100000001,3,679.97,679.97,0,0,1,0
2022-01-06,4A0100000001,4,919.96,959.96,37.04,1,1,0.038584941
2022-01-07,4a0100000001,12,2579.88,2969.88,361.12,1,1,0.121594138
2022-01-08,4A0100000001,9,1799.91,2159.91,333.36,1,1,0.154339764
2022-01-09,4A0100000001,2,439.98,479.98,37.04,1,1,0.077169882
2022-01-10,4A0100000001,4,839.96,919.96,74.08,1,1,0.08052524
2022-01-11,4A0100000001,5,999.95,999.95,0,0,1,0
2022-01-12,4A0100000001,8,1448.6,1645.52,182.34,1,1,0.110809957
2022-01-13,4A0100000001,16,3313.04,3799.84,472,1,1,0.124215756
2022-01-14,4A0100000001,15,2831.46,3319.81,452.18,1,1,0.13620659
2022-01-15,4A0100000001,7,1429.91,1539.91,101.85,1,1,0.066140229
2022-01-16,4A0100000001,8,1659.58,1919.92,241.06,1,1,0.125557315
2022-01-17,4A0100000001,1,199.99,199.99,0,0,1,0
2022-01-18,4A0100000001,7,1439.91,1559.91,111.12,1,1,0.071234879
2022-01-19,4A0100000001,10,1955.65,2155.65,185.2,1,1,0.085913762
2022-01-20,4A0100000001,4,799.96,879.96,74.08,1,1,0.084185645
2022-01-22,4A0100000001,7,1417.4,1633.84,200.42,1,1,0.12266807
2022-01-23,4A0100000001,6,1199.94,1439.94,222.24,1,1,0.154339764
2022-01-24,4A0100000001,6,1199.94,1239.94,37.04,1,1,0.029872413
2022-01-25,4A0100000001,15,2987.38,2987.38,0,0,1,0
2022-01-26,4A0100000001,10,2059.9,2099.9,37.04,1,1,0.017638935
2022-01-27,4A0100000001,6,1319.94,1319.94,0,0,1,0
2022-01-28,4A0100000001,5,933.26,1093.26,148.16,1,1,0.135521285
2022-01-29,4A0100000001,13,2614.19,2799.87,171.93,1,1,0.061406422
2022-01-30,4A0100000001,5,981.53,1199.95,202.25,1,1,0.16854869
2022-01-31,4A0100000001,4,799.96,839.96,37.04,1,1,0.044097338
2022-02-01,4A0100000001,9,1731.98,1851.98,111.12,1,1,0.060000648
2022-02-02,4A0100000001,4,799.96,879.96,74.08,1,1,0.084185645
2022-02-03,4A0100000001,5,1079.95,1119.95,37.04,1,1,0.033072905
2022-02-04,4A0100000001,3,599.97,679.97,74.08,1,1,0.108945983
2022-02-05,4A0100000001,2,423.54,479.98,52.26,1,1,0.108879537
2022-02-06,4A0100000001,2,479.98,479.98,0,0,1,0
2022-02-07,4A0100000001,3,599.97,639.97,37.04,1,1,0.057877713
2022-02-08,4A0100000001,7,1380.2,1679.93,277.53,1,1,0.165203312
2022-02-09,4A0100000001,10,2039.9,2159.9,111.12,1,1,0.051446826
2022-02-11,4A0100000001,4,705.96,909.96,188.88,1,1,0.207569563
2022-02-12,4A0100000001,4,761.96,829.96,62.96,1,1,0.075859078
2022-02-13,4A0100000001,3,612.77,719.97,99.26,1,1,0.137866856
2022-02-14,4A0100000001,1,199.99,199.99,0,0,1,0
2022-02-15,4A0100000001,6,1250.1,2385.7,1051.48,1,1,0.440742759
2022-02-16,4A0100000001,5,979.95,2199.95,1129.63,1,1,0.513479852
2022-02-17,4A0100000001,8,1599.92,5099.92,3240.73,1,1,0.635447223
2022-02-18,4A0100000001,1,199.99,199.99,0,0,1,0
2022-02-19,4A0100000001,1,224.41,699.99,440.35,1,1,0.629080415
2022-02-22,4A0100000001,1,199.99,199.99,0,0,1,0
2022-02-23,4A0100000001,4,1078.34,2299.96,1131.13,1,1,0.491804205
2022-02-24,4A0100000001,2,399.98,399.98,0,0,1,0
2022-02-25,4A0100000001,3,1374.97,2099.97,671.31,1,1,0.319675995
2022-02-26,4A0100000001,2,763.73,1399.98,589.12,1,1,0.420806012
2022-02-27,4A0100000001,1,499.99,499.99,0,0,1,0
2022-02-28,4A0100000001,4,400.52,1999.96,1480.96,1,1,0.74049481
2022-03-03,4A0100000001,2,699.98,699.98,0,0,2,0
2022-03-04,4A0100000001,1,199.99,199.99,0,0,2,0
2022-03-05,4A0100000001,1,346.11,699.99,327.67,1,2,0.468106687
2022-03-07,4A0100000001,4,1599.96,1879.96,259.27,1,2,0.137912509
2022-03-09,4A0100000001,3,1499.97,1699.97,185.19,1,2,0.108937217
2022-03-10,4A0100000001,2,415.98,499.98,77.78,1,2,0.155566223
2022-03-11,4A0100000001,1,499.99,499.99,0,0,2,0
2022-03-12,4A0100000001,1,391.1,699.99,286.01,1,2,0.408591551
2022-03-13,4A0100000001,1,383.35,699.99,293.19,1,2,0.418848841
2022-03-14,4A0100000001,1,259.99,259.99,0,0,2,0
2022-03-15,4A0100000001,7,1954.93,2259.93,282.41,1,2,0.124964048
2022-03-16,4A0100000001,3,779.97,779.97,0,0,2,0
2022-03-17,4A0100000001,3,779.97,779.97,0,0,2,0
2022-03-19,4A0100000001,2,894.98,1399.98,467.6,1,2,0.334004771
2022-03-20,4A0100000001,2,999.98,1399.98,370.38,1,2,0.264560922
2022-03-21,4A0100000001,3,1259.97,1659.97,370.38,1,2,0.223124514
2022-03-23,4A0100000001,1,340.27,699.99,333.07,1,2,0.475821083
2022-03-24,4a0100000001,1,374.99,699.99,300.93,1,2,0.429906142
2022-03-26,4A0100000001,1,369.05,699.99,306.43,1,2,0.437763397
2022-03-29,4A0100000001,1,394.99,699.99,282.41,1,2,0.403448621
2022-03-31,4A0100000001,1,499.99,699.99,185.19,1,2,0.264560922
2022-04-05,4A0100000001,2,999.98,1399.98,370.38,1,2,0.264560922
2022-04-07,4A0100000001,1,499.99,499.99,0,0,2,0
2022-04-08,4A0100000001,4,1894.96,2599.96,652.79,1,2,0.25107694
2022-04-11,4A0100000001,2,999.98,1199.98,185.19,1,2,0.154327572
2022-04-13,4A0100000001,1,499.99,499.99,0,0,2,0
2022-04-14,4A0100000001,1,487.25,487.25,0,0,2,0
2022-04-15,4A0100000001,2,824.98,1074.98,231.48,1,2,0.215334239
2022-04-16,4A0100000001,4,879.32,1459.96,537.64,1,2,0.368256665
2022-04-18,4A0100000001,1,374.99,499.99,115.74,1,2,0.23148463
2022-04-19,4A0100000001,2,899.98,1399.98,462.96,1,2,0.330690438
2022-04-21,4A0100000001,2,879.98,879.98,0,0,2,0
2022-04-24,4A0100000001,1,394.99,699.99,282.41,1,2,0.403448621
2022-04-25,4A0100000001,2,749.98,999.98,231.48,1,2,0.23148463
2022-04-26,4A0100000001,4,1579.97,1579.97,0,0,2,0
2022-04-28,4A0100000001,1,499.99,699.99,185.19,1,2,0.264560922
2022-04-29,4A0100000001,1,539.99,749.99,194.44,1,2,0.25925679
2022-05-03,4A0100000001,1,699.99,699.99,0,0,2,0
2022-05-05,4A0100000001,3,1000.34,2099.97,1018.19,1,2,0.484859308
2022-05-06,4A0100000001,1,499.99,699.99,185.19,1,2,0.264560922
2022-05-08,4A0100000001,1,379.99,379.99,0,0,2,0
2022-05-12,4A0100000001,1,594.99,699.99,105,1,2,0.150002143
2022-05-13,4A0100000001,1,307.68,699.99,363.25,1,2,0.518935985
2022-05-14,4A0100000001,2,594.98,939.98,319.45,1,2,0.339847656
2022-05-18,4A0100000001,1,399.99,699.99,277.78,1,2,0.39683424
2022-05-19,4A0100000001,1,352.93,699.99,321.35,1,2,0.459077987
2022-05-20,4A0100000001,1,449.99,699.99,231.48,1,2,0.330690438
2022-05-21,4A0100000001,3,1487.06,2099.97,567.51,1,2,0.270246718
2022-05-22,4A0100000001,1,499.99,699.99,185.19,1,2,0.264560922
2022-05-23,4A0100000001,1,699.99,699.99,0,0,2,0
2022-05-24,4A0100000001,2,884.07,1399.98,477.7,1,2,0.34121916
2022-05-25,4A0100000001,1,394.99,394.99,0,0,2,0
2022-05-27,4A0100000001,1,499.99,699.99,185.19,1,2,0.264560922
2022-05-29,4A0100000001,2,399.98,479.98,74.08,1,2,0.154339764
2022-06-03,4A0100000001,1,335.74,699.99,337.27,1,3,0.481821169
2022-06-04,4A0100000001,1,394.99,699.99,282.41,1,3,0.403448621
2022-06-06,4A0100000001,2,678.89,1399.98,667.67,1,3,0.476913956
2022-06-07,4A0100000001,1,397.25,699.99,280.31,1,3,0.400448578
2022-06-08,4A0100000001,1,499.99,699.99,185.19,1,3,0.264560922
2022-06-09,4A0100000001,2,999.98,1399.98,370.38,1,3,0.264560922
2022-06-10,4A0100000001,1,394.99,699.99,282.41,1,3,0.403448621
2022-06-11,4A0100000001,4,1672.72,2799.96,1043.75,1,3,0.372773182
2022-06-12,4A0100000001,1,424.99,699.99,254.63,1,3,0.363762339
2022-06-13,4A0100000001,2,899.98,1399.98,462.96,1,3,0.330690438
2022-06-14,4A0100000001,1,499.99,699.99,185.19,1,3,0.264560922
2022-06-15,4A0100000001,4,1594.96,2339.96,689.83,1,3,0.294804185
2022-06-16,4A0100000001,1,499.99,499.99,0,0,3,0
2022-06-17,4A0100000001,1,478.44,699.99,205.14,1,3,0.293061329
2022-06-18,4A0100000001,2,832.55,1399.98,525.39,1,3,0.375283933
2022-06-19,4A0100000001,2,949.98,1399.98,416.67,1,3,0.29762568
2022-06-20,4A0100000001,3,1317.93,2099.97,724.11,1,3,0.344819212
2022-06-21,4A0100000001,1,699.99,699.99,0,0,3,0
2022-06-22,4A0100000001,1,449.99,699.99,231.48,1,3,0.330690438
